alpha,wealth
0.326,66359400309.70725
0.327,70006567686.9626
0.328,73843873890.09518
0.329,77880639567.90103
0.33,82126609643.20059
0.331,86591970903.20639
0.332,91287370232.20287
0.333,96223933505.78946
0.334,101413285166.29846
0.335,106867568499.39781
0.336,112599466632.23073
0.337,118622224273.84709
0.338,124949670219.00833
0.339,131596240636.85315
0.34,138577003166.21375
0.341,145907681839.76584
0.342,153604682859.50882
0.343,161685121246.40335
0.34400000000000003,170166848387.34613
0.34500000000000003,179068480502.9314
0.34600000000000003,188409428059.7803
0.34700000000000003,198209926151.50797
0.34800000000000003,208491065872.662
0.34900000000000003,219274826710.2293
0.35000000000000003,230584109977.579
0.35100000000000003,242442773315.9235
0.35200000000000004,254875666288.55402
0.353,267908667093.4272
0.354,281568720419.68304
0.355,295883876473.96515
0.356,310883331202.50433
0.357,326597467734.9995
0.358,343057899076.47833
0.359,360297512073.3127
0.36,378350512679.62213
0.361,397252472550.34186
0.362,417040376987.0904
0.363,437752674263.0173
0.364,459429326352.65906
0.365,482111861092.69135
0.366,505843425799.31757
0.367,530668842367.8105
0.368,556634663879.4799
0.369,583789232741.0288
0.37,612182740380.9199
0.371,641867288527.0231
0.372,672896952089.3494
0.373,705327843671.1782
0.374,739218179731.4326
0.375,774628348420.4117
0.376,811620979110.5673
0.377,850261013643.0729
0.378,890615779310.3529
0.379,932755063593.905
0.38,976751190675.6229
0.381,1022679099740.3333
0.382,1070616425085.73
0.383,1120643578055.2947
0.384,1172843830808.158
0.385,1227303401939.0986
0.386,1284111543960.152
0.387,1343360632654.2803
0.388,1405146258309.892
0.389,1469567318843.3713
0.39,1536726114815.5781
0.391,1606728446346.0764
0.392,1679683711927.379
0.393,1755705009139.5989
0.394,1834909237263.629
0.395,1917417201789.722
0.396,2003353720814.9844
0.397,2092847733322.0913
0.398,2186032409329.1611
0.399,2283045261897.1826
0.4,2384028260980.6514
0.401,2489127949102.505
0.402,2598495558833.901
0.403,2712287132054.1074
0.404,2830663640965.2485
0.405,2953791110831.912
0.406,3081840744413.2373
0.40700000000000003,3214989048052.1987
0.40800000000000003,3353417959382.386
0.40900000000000003,3497314976610.6133
0.41000000000000003,3646873289328.8745
0.41100000000000003,3802291910806.233
0.41200000000000003,3963775811707.611
0.41300000000000003,4131536055181.7754
0.41400000000000003,4305789933258.585
0.41500000000000004,4486761104488.861
0.41600000000000004,4674679732759.278
0.41700000000000004,4869782627207.97
0.418,5072313383163.176
0.419,5282522524023.346
0.42,5500667643991.383
0.421,5727013551572.391
0.422,5961832413738.426
0.423,6205403900660.55
0.424,6458015330901.286
0.425,6719961816957.957
0.426,6991546411041.96
0.427,7273080250971.28
0.428,7564882706053.461
0.429,7867281522825.165
0.43,8180612970514.631
0.431,8505221986083.3955
0.432,8841462318702.164
0.433,9189696673506.748
0.434,9550296854476.947
0.435,9923643906275.586
0.436,10310128254877.428
0.437,10710149846814.664
0.438,11124118286856.844
0.439,11552452973942.693
0.44,11995583235169.365
0.441,12453948457643.383
0.442,12927998217990.615
0.443,13418192409317.967
0.444,13925001365409.865
0.445,14448905981944.729
0.446,14990397834503.104
0.447,15549979293138.29
0.448,16128163633274.832
0.449,16725475142691.715
0.45,17342449224347.494
0.451,17979632494791.285
0.452,18637582877909.01
0.453,19316869693738.094
0.454,20018073742089.71
0.455,20741787380701.63
0.456,21488614597655.094
0.457,22259171077765.375
0.458,23054084262673.188
0.459,23873993404339.797
0.46,24719549611660.266
0.461,25591415889896.75
0.462,26490267172634.344
0.463,27416790345955.883
0.464,28371684264533.492
0.465,29355659759326.266
0.466,30369439636577.957
0.467,31413758667797.785
0.468,32489363570415.297
0.46900000000000003,33597012978791.594
0.47000000000000003,34737477405267.695
0.47100000000000003,35911539190939.086
0.47200000000000003,37119992445831.07
0.47300000000000003,38363642978162.52
0.47400000000000003,39643308212375.56
0.47500000000000003,40959817095617.4
0.47600000000000003,42314009992356.32
0.47700000000000004,43706738566813.8
0.47800000000000004,45138865652905.22
0.47900000000000004,46611265111376.07
0.48000000000000004,48124821673820.375
0.481,49680430773285.17
0.482,51278998361151.53
0.483,52921440710000.46
0.484,54608684202166.32
0.485,56341665103694.28
0.486,58121329323417.0
0.487,59948632156877.14
0.488,61824538014821.58
0.489,63750020136013.4
0.49,65726060284101.17
0.491,67753648428304.22
0.492,69833782407665.35
0.493,71967467578670.58
0.494,74155716445982.77
0.495,76399548276115.83
0.496,78699988693827.48
0.497,81058069261070.66
0.498,83474827038310.47
0.499,85951304128069.19
0.5,88488547200535.97
0.501,91087607001129.55
0.502,93749537839881.89
0.503,96475397062559.03
0.504,99266244503416.23
0.505,102123141919550.0
0.506,105047152406757.08
0.507,108039339796909.48
0.508,111100768036803.77
0.509,114232500548499.16
0.51,117435599571181.03
0.511,120711125484568.12
0.512,124060136113960.27
0.513,127483686016990.81
0.514,130982825752213.94
0.515,134558601129621.95
0.516,138212052443299.06
0.517,141944213686342.7
0.518,145756111748278.75
0.519,149648765595178.78
0.52,153623185432755.66
0.521,157680371852681.6
0.522,161821314962448.56
0.523,166046993499094.9
0.524,170358373927137.56
0.525,174756409521111.47
0.526,179242039433091.25
0.527,183816187745661.7
0.528,188479762510770.3
0.529,193233654774949.8
0.53,198078737591449.53
0.531,203015865019791.16
0.532,208045871113316.38
0.533,213169568895369.7
0.534,218387749324666.88
0.535,223701180250576.3
0.536,229110605358953.78
0.537,234616743109223.7
0.538,240220285663524.84
0.539,245921897808562.1
0.54,251722215871070.6
0.541,257621846627648.75
0.542,263621366209801.9
0.543,269721319005117.12
0.544,275922216555407.44
0.545,282224536452799.4
0.546,288628721234682.2
0.547,295135177278487.56
0.548,301744273697338.4
0.549,308456341237540.8
0.55,315271671178978.7
0.551,322190514239510.4
0.552,329213079484374.06
0.553,336339533241822.2
0.554,343569998026004.5
0.555,350904551468310.06
0.556,358343225258337.75
0.557,365886004095615.75
0.558,373532824653349.25
0.559,381283574555353.5
0.56,389138091367389.3
0.561,397096161604223.7
0.562,405157519753558.94
0.5630000000000001,413321847318151.3
0.5640000000000001,421588771877394.6
0.5650000000000001,429957866169621.5
0.5660000000000001,438428647196404.9
0.5670000000000001,447000575350181.5
0.5680000000000001,455673053566440.0
0.5690000000000001,464445426501816.94
0.5700000000000001,473316979739358.5
0.5710000000000001,482286939022269.6
0.5720000000000001,491354469517395.75
0.5730000000000001,500518675109795.6
0.5740000000000001,509778597729594.56
0.5750000000000001,519133216712502.6
0.5760000000000001,528581448195122.8
0.5770000000000001,538122144546438.56
0.578,547754093836604.75
0.579,557476019344362.2
0.58,567286579104237.4
0.581,577184365494635.8
0.582,587167904868243.1
0.583,597235657225548.0
0.584,607386015932891.5
0.585,617617307486038.5
0.586,627927791320270.5
0.587,638315659668171.6
0.588,648779037466028.2
0.589,659315982309896.5
0.59,669924484462194.4
0.591,680602466909780.9
0.592,691347785474412.6
0.593,702158228976367.5
0.594,713031519452031.4
0.595,723965312426201.6
0.596,734957197239787.5
0.597,746004697433697.5
0.598,757105271189217.4
0.599,768256311825777.1
0.6,779455148356422.6
0.601,790699046101421.0
0.602,801985207360529.8
0.603,813310772144214.9
0.604,824672818963996.2
0.605,836068365682319.6
0.606,847494370422056.8
0.607,858947732535682.8
0.608,870425293634230.8
0.609,881923838676040.8
0.61,893440097115159.8
0.611,904970744109214.5
0.612,916512401786717.2
0.613,928061640573274.8
0.614,939614980576589.8
0.615,951168893029707.0
0.616,962719801792037.8
0.617,974264084907669.1
0.618,985798076220255.8
0.619,997318067043921.9
0.62,1008820307889272.0
0.621,1020301010243850.4
0.622,1031756348405911.9
0.623,1043182461370908.6
0.624,1054575454769214.5
0.625,1065931402854370.2
0.626,1077246350540405.6
0.627,1088516315487201.6
0.628,1099737290232404.5
0.629,1110905244368652.0
0.63,1122016126764632.2
0.631,1133065867828387.2
0.632,1144050381811507.8
0.633,1154965569152245.0
0.634,1165807318856276.0
0.635,1176571510912940.0
0.636,1187254018745431.8
0.637,1197850711692978.0
0.638,1208357457523080.2
0.639,1218770124971736.0
0.64,1229084586309864.5
0.641,1239296719933614.2
0.642,1249402412976441.8
0.643,1259397563940999.8
0.644,1269278085348238.5
0.645,1279039906401944.2
0.646,1288678975665848.8
0.647,1298191263751489.8
0.648,1307572766014062.5
0.649,1316819505254071.5
0.65,1325927534422244.0
0.651,1334892939325330.8
0.652,1343711841330117.2
0.653,1352380400063293.8
0.654,1360894816104797.8
0.655,1369251333671568.8
0.656,1377446243289771.8
0.657,1385475884452419.5
0.658,1393336648260236.5
0.659,1401024980042785.5
0.66,1408537381957533.0
0.661,1415870415564326.2
0.662,1423020704372357.0
0.663,1429984936357499.5
0.664,1436759866447145.0
0.665,1443342318970102.5
0.666,1449729190069177.5
0.667,1455917450073622.8
0.668,1461904145829241.5
0.669,1467686402983783.5
0.67,1473261428224894.2
0.671,1478626511468449.2
0.672,1483779027995025.8
0.673,1488716440531967.5
0.674,1493436301278966.5
0.675,1497936253875037.5
0.676,1502214035304349.2
0.677,1506267477739282.0
0.678,1510094510318364.0
0.679,1513693160857238.2
0.68,1517061557490507.2
0.681,1520197930243051.8
0.682,1523100612528495.0
0.683,1525768042573472.0
0.684,1528198764765882.8
0.685,1530391430925472.0
0.686,1532344801495657.2
0.687,1534057746654486.0
0.6880000000000001,1535529247344041.0
0.6890000000000001,1536758396216631.0
0.6900000000000001,1537744398496818.5
0.6910000000000001,1538486572758005.2
0.6920000000000001,1538984351612767.8
0.6930000000000001,1539237282315826.8
0.6940000000000001,1539245027279132.8
0.6950000000000001,1539007364497986.5
0.6960000000000001,1538524187887829.2
0.6970000000000001,1537795507531104.0
0.6980000000000001,1536821449833690.0
0.6990000000000001,1535602257590557.8
0.7000000000000001,1534138289960573.0
0.7010000000000001,1532430022350144.5
0.7020000000000001,1530478046205598.2
0.7030000000000001,1528283068714620.5
0.7040000000000001,1525845912416615.5
0.705,1523167514722417.8
0.706,1520248927343586.5
0.707,1517091315631925.2
0.708,1513695957829468.2
0.709,1510064244229855.2
0.71,1506197676251797.5
0.711,1502097865425213.8
0.712,1497766532291331.5
0.713,1493205505217650.8
0.714,1488416719128681.2
0.715,1483402214153957.5
0.716,1478164134194539.8
0.717,1472704725409384.0
0.718,1467026334622918.5
0.719,1461131407655719.5
0.72,1455022487579628.0
0.721,1448702212899128.8
0.722,1442173315660912.0
0.723,1435438619493357.5
0.724,1428501037577972.5
0.725,1421363570554797.8
0.726,1414029304363864.5
0.727,1406501408024946.2
0.728,1398783131357688.0
0.729,1390877802644561.2
0.73,1382788826238988.0
0.731,1374519680120803.0
0.732,1366073913401832.8
0.733,1357455143783946.0
0.734,1348667054972041.0
0.735,1339713394044742.8
0.736,1330597968785319.0
0.737,1321324644975439.5
0.738,1311897343654724.0
0.739,1302320038348450.2
0.74,1292596752266457.8
0.741,1282731555475907.2
0.742,1272728562050651.5
0.743,1262591927200178.5
0.744,1252325844380697.5
0.745,1241934542391409.0
0.746,1231422282458735.2
0.747,1220793355311255.5
0.748,1210052078248175.8
0.749,1199202792204367.5
0.75,1188249858814465.5
0.751,1177197657478985.5
0.752,1166050582435281.5
0.753,1154813039835977.0
0.754,1143489444837698.2
0.755,1132084218702710.5
0.756,1120601785916246.0
0.757,1109046571322142.5
0.758,1097422997279184.6
0.759,1085735480841103.6
0.76,1073988430962434.1
0.761,1062186245732730.9
0.762,1050333309641778.5
0.763,1038433990877928.4
0.764,1026492638662021.8
0.765,1014513580619111.6
0.766,1002501120190196.8
0.767,990459534086108.6
0.768,978393069785662.8
0.769,966305943079941.5
0.77,954202335664960.5
0.771,942086392784167.2
0.772,929962220923037.0
0.773,917833885557052.2
0.774,905705408955113.2
0.775,893580768039667.1
0.776,881463892305220.4
0.777,869358661796567.6
0.778,857268905148194.8
0.779,845198397685946.8
0.78,833150859592308.1
0.781,821129954136290.5
0.782,809139285968983.2
0.783,797182399485693.2
0.784,785262777255493.4
0.785,773383838519003.9
0.786,761548937754975.2
0.787,749761363316471.1
0.788,738024336136864.8
0.789,726341008506381.5
0.79,714714462919294.9
0.791,703147710992170.2
0.792,691643692453303.8
0.793,680205274203417.6
0.794,668835249447665.2
0.795,657536336898849.9
0.796,646311180051773.0
0.797,635162346528361.0
0.798,624092327493464.8
0.799,613103537140781.5
0.8,602198312248513.5
0.801,591378911804318.5
0.802,580647516698764.2
0.803,570006229486935.6
0.804,559457074217082.75
0.805,549001996325881.6
0.806,538642862599197.3
0.807,528381461197521.94
0.808,518219501745144.8
0.809,508158615481958.4
0.81,498200355476795.25
0.811,488346196901257.75
0.812,478597537362659.0
0.8130000000000001,468955697295050.2
0.8140000000000001,459421920406839.0
0.8150000000000001,449997374183816.6
0.8160000000000001,440683150446094.3
0.8170000000000001,431480265957635.94
0.8180000000000001,422389663086838.5
0.8190000000000001,413412210516746.4
0.8200000000000001,404548704003315.2
0.8210000000000001,395799867180233.75
0.8220000000000001,387166352408666.5
0.8230000000000001,378648741670338.4
0.8240000000000001,370247547502365.5
0.8250000000000001,361963213972114.56
0.8260000000000001,353796117690511.25
0.8270000000000001,345746568862027.75
0.8280000000000001,337814812369743.9
0.8290000000000001,330001028893742.1
0.8300000000000001,322305336061093.6
0.8310000000000001,314727789625787.8
0.8320000000000001,307268384676854.6
0.8330000000000001,299927056872922.8
0.834,292703683701579.9
0.835,285598085761740.8
0.836,278610028067376.8
0.837,271739221370842.66
0.838,264985323504190.25
0.839,258347940736698.62
0.84,251826629147051.16
0.841,245420896008413.8
0.842,239130201184875.66
0.843,232953958537567.28
0.844,226891537338896.8
0.845,220942263693348.7
0.846,215105421963274.1
0.847,209380256198151.8
0.848,203765971565877.25
0.849,198261735784553.75
0.85,192866680553385.88
0.851,187579902981290.25
0.852,182400467011814.25
0.853,177327404843065.6
0.854,172359718341332.9
0.855,167496380447130.62
0.856,162736336572457.5
0.857,158078505988061.4
0.858,153521783199557.75
0.859,149065039311310.4
0.86,144707123376958.6
0.861,140446863735610.25
0.862,136283069332646.8
0.863,132214531024235.16
0.864,128240022864616.62
0.865,124358303375283.73
0.866,120568116795247.66
0.867,116868194311588.03
0.868,113257255269542.31
0.869,109734008361433.44
0.87,106297152793765.12
0.871,102945379431885.05
0.872,99677371921597.25
0.873,96491807787237.75
0.874,93387359505659.38
0.875,90362695555711.16
0.876,87416481442784.81
0.877,84547380698027.78
0.878,81754055851926.06
0.879,79035169381913.67
0.88,76389384633786.64
0.881,73815366716667.78
0.882,71311783371353.73
0.883,68877305811885.36
0.884,66510609540223.11
0.885,64210375133961.1
0.886,61975289007013.5
0.887,59804044143271.15
0.888,57695340803249.7
0.889,55647887203760.39
0.89,53660400170708.625
0.891,51731605765108.36
0.892,49860239882458.15
0.893,48045048825645.42
0.894,46284789851568.2
0.895,44578231691689.125
0.896,42924155046767.31
0.897,41321353056031.33
0.898,39768631741081.125
0.899,38264810424823.55
0.9,36808722125781.78
0.901,35399213928114.38
0.902,34035147327720.426
0.903,32715398554811.336
0.904,31438858873349.05
0.905,30204434857772.734
0.906,29011048647436.742
0.907,27857638179206.395
0.908,26743157398672.383
0.909,25666576450441.586
0.91,24626881847990.77
0.911,23623076623564.734
0.912,22654180458615.758
0.913,21719229795288.426
0.914,20817277929456.008
0.915,19947395085827.938
